LATITUDE,LONGITUDE,MONTH,YEAR,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySkyConditions,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed
32.95,65.5666666,5,2010,36.63636363636363,90.81818181818181,nan,nan,nan,nan,14.727272727272727,nan,nan,nan,nan,nan,nan,6.2727272727272725
32.95,65.5666666,7,2010,38.95238095238095,88.73809523809524,nan,nan,nan,nan,17.547619047619047,nan,nan,nan,nan,nan,nan,7.523809523809524
32.95,65.5666666,10,2010,64.63111111111111,70.96902654867256,nan,nan,nan,nan,84.61061946902655,nan,nan,nan,nan,nan,nan,2.02212389380531
0.0,0.0,4,2010,41.0,79.0,nan,nan,nan,nan,26.0,nan,nan,nan,nan,nan,nan,0.0
70.9333333,-8.6666667,1,2010,26.69506726457399,30.492559523809526,nan,nan,0.0024386503067484605,4.834609494640122,85.91629297458894,nan,29.824355828220863,29.789831546707546,7.809281045751643,29.135384615384616,nan,16.20216049382716
70.9333333,-8.6666667,2,2010,20.15119760479042,25.932634730538922,nan,nan,-0.0012235649546827778,4.515105740181269,79.02095808383234,nan,30.052265861027227,30.01669184290024,11.206400000000002,24.13595166163142,nan,15.370650529500756
70.9333333,-8.6666667,3,2010,16.482993197278912,22.72108843537415,nan,nan,-0.00039671682626539104,4.53551912568306,77.18231292517007,nan,29.97853625171002,29.94347469220254,11.394759036144587,20.889192886456907,nan,15.572230014025246
70.9333333,-8.6666667,4,2010,22.662482566248258,27.799163179916317,nan,nan,-0.0003776223776223792,4.216783216783217,81.36680613668061,nan,29.898347338935526,29.863011204481776,14.18409937888199,26.140056022408963,nan,14.3515406162465
70.9333333,-8.6666667,5,2010,27.967407407407407,32.346666666666664,nan,nan,-0.0014200298953662178,4.260089686098655,84.17185185185186,nan,30.09133034379673,30.05597907324362,20.092111801242236,30.733931240657697,nan,13.974588938714499
70.9333333,-8.6666667,6,2010,33.269444444444446,36.480555555555554,nan,nan,-0.0005673758865248233,4.259574468085106,88.29444444444445,nan,30.027390070922024,29.99202836879429,16.183133333333338,35.18156028368794,nan,10.367375886524822
